"LoF.gene","Exp.gene","p.raw","p.FDR","Rank.p","Distance.bp","Beta.coefficient","LoF.name","LoF.description","Exp.name","Exp.description"
"AT1G01220","AT2G47070",5.48514637455687e-06,0.0308539483568824,1,Inf,-0.181197982186672,"ARABIDOPSIS THALIANA L-FUCOKINASE/GDP-L-FUCOSE PYROPHOSPHORYLASE; ATFKGP; FKGP; L-FUCOKINASE/GDP-L-FUCOSE PYROPHOSPHORYLASE","Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.","SPL1; SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 1","member of SPL gene family, encodes DNA binding proteins and putative transcription factors.  All have the SBP-box, which encodes the SBP-domain, required for and  sufficient for interaction with DNA."
"AT1G01220","AT4G19530",4.67358484136647e-05,0.0438148578878107,1,Inf,-0.985476486256169,"ARABIDOPSIS THALIANA L-FUCOKINASE/GDP-L-FUCOSE PYROPHOSPHORYLASE; ATFKGP; FKGP; L-FUCOKINASE/GDP-L-FUCOSE PYROPHOSPHORYLASE","Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.","","Encodes a TIR-NB-LRR resistance protein.  Transient expression in tobacco induces cell death."
"AT1G01355","AT1G78360",3.0563557516707e-05,0.00955111172397095,1,-29343477.5,0.0325373731027265,"","Putative endonuclease or glycosyl hydrolase;(source:Araport11)","ATGSTU21; GLUTATHIONE S-TRANSFERASE TAU 21; GSTU21","Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)."
"AT1G01355","AT2G04750",2.64136418477721e-05,0.0206657102370619,1,Inf,0.0231664097851105,"","Putative endonuclease or glycosyl hydrolase;(source:Araport11)","ATFIM3","Encodes a member of the fimbrin family. Different members of the fimbrin/plastin family have diverged biochemically during evolution to generate either tight actin bundles or loose networks with distinct biochemical and biophysical properties. FIM4 generates both actin bundles and branched actin filaments whereas FIM5 only generates actin bundles."
"AT1G01355","AT3G11180",1.71848266961547e-05,0.0138092357379815,1,Inf,0.0250636905852775,"","Putative endonuclease or glycosyl hydrolase;(source:Araport11)","JAO 1; JASMONATE-INDUCED OXYGENASE1; JASMONIC ACID OXIDASE 1; JOX1","One of 4 paralogs encoding a 2-oxoglutarate/Fe(II)-dependent oxygenases  that hydroxylates JA to 12-OH-JA."
"AT1G01355","AT3G59510",5.86524194299449e-06,0.0065983971858688,1,Inf,0.138885768129171,"","Putative endonuclease or glycosyl hydrolase;(source:Araport11)","","Leucine-rich repeat (LRR) family protein;(source:Araport11)"
"AT1G01355","AT5G41820",0.000137851658858279,0.0439891270955447,1,Inf,-0.297359600371864,"","Putative endonuclease or glycosyl hydrolase;(source:Araport11)","ATRGTA2; RAB GERANYLGERANYL TRANSFERASE ALPHA SUBUNIT 2; RGTA2","RAB geranylgeranyl transferase alpha subunit 2;(source:Araport11)"
"AT1G01480","AT1G15910",1.20386378195137e-05,0.0338586688673824,1,-5290139.5,-0.213659198164643,"1-AMINO-CYCLOPROPANE-1-CARBOXYLATE SYNTHASE 2; ACS2; AT-ACC2","a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library.  Plays a key role in the establishment of stomatal density and cluster on the leaf epidermis in response to drought.","FACTOR OF DNA METHYLATION 1; FDM1; IDN2 PARALOG 1; IDNL1; IDP1; INVOLVED IN DE NOVO 2 (IDN2) - LIKE 1","Belongs to a subgroup of SGS3-like proteins that act redundantly in RNA-directed DNA methylation: AT1G15910 (FDM1), AT4G00380 (FDM2), AT3G12550 (FDM3), AT1G13790 (FDM4), AT1G80790 (FDM5)."
"AT1G01480","AT1G75290",3.72034703821866e-06,0.01046347604499,1,-28077440.5,-0.337578294944481,"1-AMINO-CYCLOPROPANE-1-CARBOXYLATE SYNTHASE 2; ACS2; AT-ACC2","a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library.  Plays a key role in the establishment of stomatal density and cluster on the leaf epidermis in response to drought.","","encodes a protein whose sequence is similar to an isoflavone reductase"
"AT1G01480","AT1G78770",1.27599529063764e-05,0.0239249116994557,1,-29442092,-0.278761047614786,"1-AMINO-CYCLOPROPANE-1-CARBOXYLATE SYNTHASE 2; ACS2; AT-ACC2","a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library.  Plays a key role in the establishment of stomatal density and cluster on the leaf epidermis in response to drought.","ANAPHASE PROMOTING COMPLEX 6; APC6","anaphase promoting complex 6;(source:Araport11)"
"AT1G01480","AT2G47620",1.16084603241551e-05,0.0217658631077909,1,Inf,-0.145243173597051,"1-AMINO-CYCLOPROPANE-1-CARBOXYLATE SYNTHASE 2; ACS2; AT-ACC2","a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library.  Plays a key role in the establishment of stomatal density and cluster on the leaf epidermis in response to drought.","ATSWI3A; CHB1; SWI3A; SWITCH/SUCROSE NONFERMENTING 3ASWI3A; SWITCH/SUCROSE NONFERMENTING 3A","Homologous to yeast SWI3 and a member of the Arabidopsis SWI3 gene family. Protein physically interacts with ATSWI3B and ATSWI3C, the other two members of the SWI3 family.A specific subunit of MINU1/2-associated SWI/SNF (MAS) complexes (PMID:36471048)."
"AT1G01480","AT3G12080",2.60264665752833e-05,0.0398642378939582,1,Inf,-0.152040861145363,"1-AMINO-CYCLOPROPANE-1-CARBOXYLATE SYNTHASE 2; ACS2; AT-ACC2","a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library.  Plays a key role in the establishment of stomatal density and cluster on the leaf epidermis in response to drought.","DER; EMB2738; EMBRYO DEFECTIVE 2738; ENGA-1","Encodes a putative plastid-targeted GTP-binding protein that is essential for embryogenesis and chloroplast development."
