"Gene","p.EMMAX","p.LM","Neg.log10.p.EMMAX","Neg.log10.p.LM","Beta.EMMAX","Beta.LM","Allele.freq","Description","Temperature"
"AT1G01073",0.246045680593203,0.0312504822359642,0.608984254734768,1.50514327653423,-1.95719442827346,-5.56448616912129,0.051307847082495,NA,"10°C"
"AT1G01220",0.681158690073342,0.638485664941416,0.166751698374153,0.194848848920109,0.512556798910741,-0.899274553718112,0.0985915492957746,"Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.","10°C"
"AT1G01355",0.496975070833039,5.18880260371465e-06,0.303665395715734,5.28493285074429,1.15322774400878,11.6181474209705,0.0523138832997988,"Putative endonuclease or glycosyl hydrolase;(source:Araport11)","10°C"
"AT1G01471",0.0198423000717128,0.000333740327441243,1.70240798689177,3.47659131229334,-2.43545133479122,-4.54643854747799,0.279678068410463,NA,"10°C"
"AT1G01480",0.616179126965625,0.09033706127105,0.210293017471832,1.04413404145368,-0.556284903264656,-3.05431547622449,0.112676056338028,"a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library.  Plays a key role in the establishment of stomatal density and cluster on the leaf epidermis in response to drought.","10°C"
"AT1G01590",0.260447079049069,5.99051597235412e-06,0.584280508878182,5.22253576954799,-1.4140621176967,-7.75056846999724,0.125754527162978,"Encodes a ferric-chelate reductase that is expressed at extremely low levels in Fe deficiency-induced seedlings.","10°C"
"AT1G01695",0.581586506536363,0.160854354514478,0.235385678154486,0.793567177746088,-1.27872111358639,-3.3581608376474,0.0603621730382294,"Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein;(source:Araport11)","10°C"
"AT1G01710",0.22697014291077,0.703078915123566,0.644031268894659,0.152995926076582,-1.8611219644573,-0.710629141455704,0.104627766599598,"acyl-CoA thioesterase II;(source:Araport11)","10°C"
"AT1G01725",0.961697171869961,0.00386674109542002,0.0169616611121345,2.41265490591883,0.0607155970417037,6.01292712976336,0.0814889336016097,"adenylosuccinate synthetase;(source:Araport11)","10°C"
"AT1G01880",0.262273806656378,4.59860873793836e-11,0.581245080330812,10.3373735398025,-0.855324700098538,7.46567333903611,0.45271629778672,"Encodes one of two GEN1 homologs in Arabidopsis.  It is a member of the class IV Rad2/XPG family of nucleases that processes Holliday junctions in a manner analogous to the HJ resolvases of phages, archaea, and bacteria.","10°C"
"AT1G02020",0.451198293374546,0.985103706547058,0.345632551709597,0.00651804685234034,-0.680096431784324,-0.0226417108107495,0.330985915492958,"nitroreductase family protein;(source:Araport11)","10°C"
"AT1G02120",0.0570300837612452,0.0300985272880046,1.24389599055728,1.52145475378623,1.35920223044608,2.47270526920795,0.490945674044266,"Encodes VAD1 (Vascular Associated Death1), a regulator of cell death and defense responses in vascular tissues.  VAD1 is a putative membrane associated protein and contains a GRAM domain.  vad1 is a lesion mimic mutant that exhibits light conditional appearance of propagative HR (hypersensitive response)-like lesions along the vascular system.The mRNA is cell-to-cell mobile.Encodes VAD1 (Vascular Associated Death1), a regulator of cell death and defense responses in vascular tissues.  VAD1 is a putative membrane associated protein and contains a GRAM domain.  vad1 is a lesion mimic mutant that exhibits light conditional appearance of propagative HR (hypersensitive response)-like lesions along the vascular system. The mRNA is cell-to-cell mobile.","10°C"
"AT1G02210",0.558313420443549,0.000739639917063189,0.25312193268239,3.13097965877236,0.756139772210704,6.02584230478927,0.114688128772636,"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein;(source:Araport11)","10°C"
"AT1G02300",0.278169553085665,0.0588389468945485,0.55569040723583,1.23033510892172,-1.29152034732424,2.89512495233651,0.834004024144869,"Encodes a capase involved in stress induced cell death.","10°C"
"AT1G02520",0.248532981037027,0.278583788829514,0.604615970987137,0.55504415936478,-0.933354043170514,1.40644518917806,0.261569416498994,"Encodes an ATP-binding cassette (ABC) transporter.  Expressed in the vascular tissue of primary stem.The mRNA is cell-to-cell mobile.Encodes an ATP-binding cassette (ABC) transporter.  Expressed in the vascular tissue of primary stem. The mRNA is cell-to-cell mobile.","10°C"
"AT1G02530",0.203292076262308,0.303356377832984,0.691879548576028,0.518046869918699,-1.03151881990652,1.25678165138594,0.321931589537223,"P-glycoprotein 12;(source:Araport11)","10°C"
"AT1G02540",0.0580241570066663,5.75159767781616e-12,1.23639116039402,11.2402115003052,1.69137744851807,10.0182834393481,0.1841046277666,"hypothetical protein;(source:Araport11)","10°C"
